Wall time,Step,Value
1587275143.339104,19,1.2358026504516602
1587275154.350744,25,1.1535979509353638
1587275187.466769,43,1.022642731666565
1587275193.093746,46,1.0149030685424805
1587275213.393806,57,0.9796615242958069
1587275241.000991,72,0.9598222374916077
1587275246.491685,75,0.9595633745193481
1587275283.392144,95,0.9178352952003479
1587275395.576237,156,0.8494518995285034
1587275401.043033,159,0.8473775386810303
1587275417.472549,168,0.8426185846328735
1587275446.748093,184,0.8259445428848267
1587275450.298188,186,0.8229373693466187
1587275531.016136,230,0.7818092107772827
1587275540.263862,235,0.7764245271682739
1587275578.884651,256,0.7655237913131714
1587275587.985125,261,0.7627245783805847
1587275600.965811,268,0.7604607343673706
1587275611.930717,274,0.7609376907348633
1587275675.926607,309,0.7474498748779297
1587275679.670464,311,0.7460017800331116
1587275694.126249,319,0.7410072684288025
1587275732.383698,340,0.7315632700920105
1587275747.015794,348,0.7237747311592102
1587275783.48334,368,0.7119547724723816
1587275881.937948,422,0.6888495683670044
1587275883.743262,423,0.6875605583190918
1587275920.196569,443,0.6774252653121948
1587275925.56404,446,0.6766219735145569
1587275952.823583,461,0.6652185320854187
1587275958.260521,464,0.6650160551071167
1587275960.028368,465,0.6646847128868103
1587275978.247877,475,0.6590517163276672
1587276012.680982,494,0.6500145196914673
1587276050.776742,515,0.6430811882019043
1587276090.822382,537,0.6388895511627197
1587276139.758007,564,0.6307066082954407
1587276157.894642,574,0.6275571584701538
1587276168.697506,580,0.6264007091522217
1587276181.563751,587,0.626228928565979
1587276183.395652,588,0.6259952187538147
1587276243.055487,621,0.6151432394981384
1587276268.454104,635,0.6142774224281311
1587276281.007879,642,0.6160616874694824
1587276282.919226,643,0.61616450548172
1587276286.553164,645,0.6162328720092773
1587276292.001836,648,0.6162306666374207
1587276295.644147,650,0.6153944730758667
1587276317.436491,662,0.6124608516693115
1587276335.570335,672,0.6065475344657898
1587276413.528909,715,0.5884854197502136
1587276427.959343,723,0.5904605984687805
1587276442.475853,731,0.5886138081550598
1587276482.249952,753,0.5798349380493164
1587276489.594817,757,0.5787842273712158
1587276505.794257,766,0.5776054859161377
1587276513.128286,770,0.5770938396453857
1587276516.738697,772,0.5763416886329651
1587276533.053653,781,0.574686586856842
1587276542.097893,786,0.5736208558082581
1587276545.701328,788,0.572171151638031
1587276554.796912,793,0.5689250230789185
1587276558.380299,795,0.5675072073936462
1587276565.64983,799,0.5677790641784668
1587276572.895636,803,0.5666675567626953
1587276583.841727,809,0.5671697854995728
1587276585.634492,810,0.5673761367797852
