Wall time,Step,Value
1587194163.359643,19,0.23251545429229736
1587194174.345877,25,0.22497843205928802
1587194207.572298,43,0.2054545134305954
1587194213.131057,46,0.19966542720794678
1587194233.592109,57,0.19259941577911377
1587194261.112744,72,0.17773811519145966
1587194266.61748,75,0.17397911846637726
1587194303.403097,95,0.15738601982593536
1587194415.994651,156,0.1426025927066803
1587194421.22513,159,0.14086300134658813
1587194437.76766,168,0.14044493436813354
1587194467.123759,184,0.13637399673461914
1587194470.799075,186,0.1356213390827179
1587194551.623026,230,0.12946628034114838
1587194560.865009,235,0.12785111367702484
1587194599.625143,256,0.12379954755306244
1587194608.925491,261,0.12302844226360321
1587194621.726755,268,0.12136980146169662
1587194632.747096,274,0.12125468999147415
1587194697.34814,309,0.11644117534160614
1587194701.055182,311,0.11606789380311966
1587194715.91563,319,0.11592837423086166
1587194754.397983,340,0.11247043311595917
1587194769.169515,348,0.11076806485652924
1587194805.631098,368,0.10671419650316238
1587194904.476879,422,0.09808755666017532
1587194906.323932,423,0.09788839519023895
1587194943.317359,443,0.09424736350774765
1587194948.785602,446,0.09384852647781372
1587194976.381033,461,0.09195763617753983
1587194981.62846,464,0.09153500944375992
1587194983.586865,465,0.09136667847633362
1587195001.895724,475,0.08974968641996384
1587195036.811299,494,0.08903743326663971
1587195075.332178,515,0.08649083971977234
1587195115.621457,537,0.0837395116686821
1587195165.329594,564,0.08254238218069077
1587195183.693328,574,0.08122558146715164
1587195194.778189,580,0.08040587604045868
1587195207.810289,587,0.0798945352435112
1587195209.522572,588,0.07996918261051178
1587195269.990127,621,0.07755092531442642
1587195295.758199,635,0.07608316093683243
1587195308.658654,642,0.07527616620063782
1587195310.445621,643,0.07515910267829895
1587195314.362656,645,0.07493585348129272
1587195319.704056,648,0.07463128119707108
1587195323.407739,650,0.07441338896751404
1587195345.289892,662,0.0730825662612915
1587195363.743008,672,0.07202234864234924
1587195442.661957,715,0.06807176023721695
1587195457.35455,723,0.06737381964921951
1587195471.855205,731,0.06674361974000931
1587195512.369356,753,0.06549058854579926
1587195519.519342,757,0.06520042568445206
1587195536.120239,766,0.06459510326385498
1587195543.407711,770,0.06440410017967224
1587195547.180062,772,0.06428913027048111
1587195563.503103,781,0.0638233870267868
1587195572.679349,786,0.06343629211187363
1587195576.388854,788,0.06336501985788345
1587195585.41254,793,0.06307865679264069
1587195589.010263,795,0.06292886286973953
1587195596.48976,799,0.06271917372941971
1587195603.624097,803,0.06241600960493088
1587195614.650757,809,0.06201867759227753
1587195616.579214,810,0.06195613369345665
1587195658.418442,833,0.06034006178379059
1587195665.800042,837,0.0600530281662941
1587195726.027216,870,0.05814310163259506
1587195738.945223,877,0.05768374726176262
1587195749.844077,883,0.05729709565639496
1587195795.553775,908,0.056321945041418076
1587195799.045832,910,0.056410517543554306
1587195813.705565,918,0.05606857314705849
1587195839.591217,932,0.055565245449543
1587195859.54746,943,0.05498359352350235
1587195864.98073,946,0.05481943115592003
1587195881.3226,955,0.05433930456638336
1587195895.831081,963,0.053911469876766205
1587195912.272356,972,0.05366051197052002
1587195914.304695,973,0.05375438556075096
1587195925.219641,979,0.0535568930208683
1587195927.089993,980,0.053504057228565216
1587195936.169267,985,0.05324024334549904
1587195969.040737,1003,0.05265769734978676
1587195974.525585,1006,0.05250714346766472
1587195991.007577,1015,0.05208589509129524
1587196080.590189,1064,0.051257286220788956
1587196086.168783,1067,0.051114000380039215
1587196089.794097,1069,0.051023904234170914
1587196096.976984,1073,0.05084677413105965
1587196970.520133,1079,0.0008535931701771915
1587196979.6935,1084,0.0021028737537562847
1587196999.451292,1094,0.010451534762978554
1587197010.369533,1100,0.008122093975543976
1587197019.726142,1105,0.0090027479454875
1587197037.931003,1115,0.009391906671226025
1587197115.127297,1157,0.011974401772022247
1587197122.491621,1161,0.011667492799460888
1587197124.396512,1162,0.011538044549524784
1587197126.052499,1163,0.01140840444713831
1587197159.011316,1181,0.0149657828733325
1587197182.572275,1194,0.013751828111708164
1587197206.235106,1207,0.01442855317145586
1587197275.698491,1245,0.01971988007426262
1587197295.619273,1256,0.018757998943328857
1587197301.130027,1259,0.018628425896167755
1587197306.534532,1262,0.018348373472690582
1587197343.018836,1282,0.016971159726381302
1587197353.935532,1288,0.016734329983592033
1587197366.582861,1295,0.016431495547294617
1587197406.646727,1317,0.015076028183102608
1587197412.145671,1320,0.014901982620358467
1587197431.909421,1331,0.01560243871062994
1587197437.415054,1334,0.01542241033166647
1587197442.766638,1337,0.015246489085257053
1587197444.624866,1338,0.015202860347926617
1587197531.899839,1386,0.014208071865141392
1587197537.318642,1389,0.01407596655189991
1587197542.681186,1392,0.013967265374958515
